time,open,high,low,close,Volume
1598259600,5001.98,5010.56,4998.47,5002.7,NaN
1598263200,5003.25,5010.23,4996.55,5004.26,NaN
1598266800,5004.4,5013.7,5000.08,5011.28,NaN
1598270400,5011.17,5011.9,4998.61,5004.13,NaN
1598274000,5004.26,5005.75,4982.01,4983.83,NaN
1598277600,4984.39,5004.84,4981.73,5001.64,NaN
1598281200,5003.53,5011.98,5003.53,5010.57,NaN
1598338800,5023.06,5073.61,5023.06,5049.92,NaN
1598342400,5050.3,5051.66,5037,5048.05,NaN
1598346000,5047.98,5047.98,5037.81,5044,NaN
1598349600,5043.85,5051.82,5039.33,5049.13,NaN
